INFO  2016-04-27 13:21:34,887 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(81): CPU cache size : -1
INFO  2016-04-27 13:21:34,887 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(82): Number of CPU cores per CPU socket : 16
INFO  2016-04-27 13:21:34,888 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(83): CPU speed : 2394
INFO  2016-04-27 13:21:34,888 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(84): CPU model : Core(TM) i5-4210U CPU @ 1.70GHz
INFO  2016-04-27 13:21:34,889 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(85): Total CPU cores (logical) : 4
INFO  2016-04-27 13:21:34,889 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(86): Total CPU sockets (physical) : 4
INFO  2016-04-27 13:21:34,890 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(87): CPU vendor id : Intel
INFO  2016-04-27 13:21:34,890 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(81): CPU cache size : -1
INFO  2016-04-27 13:21:34,891 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(82): Number of CPU cores per CPU socket : 16
INFO  2016-04-27 13:21:34,893 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(83): CPU speed : 2394
INFO  2016-04-27 13:21:34,898 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(84): CPU model : Core(TM) i5-4210U CPU @ 1.70GHz
INFO  2016-04-27 13:21:34,899 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(85): Total CPU cores (logical) : 4
INFO  2016-04-27 13:21:34,900 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(86): Total CPU sockets (physical) : 4
INFO  2016-04-27 13:21:34,901 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(87): CPU vendor id : Intel
INFO  2016-04-27 13:21:34,901 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(81): CPU cache size : -1
INFO  2016-04-27 13:21:34,902 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(82): Number of CPU cores per CPU socket : 16
INFO  2016-04-27 13:21:34,902 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(83): CPU speed : 2394
